timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1460688650075,3952,HTTP Request,200,OK,Thread Group 1-5,text,true,1345,5,5,3952
1460688649681,4493,HTTP Request,200,OK,Thread Group 1-3,text,true,1204,5,5,4493
1460688649481,5126,HTTP Request,200,OK,Thread Group 1-2,text,true,1391,5,5,5126
1460688649305,6285,HTTP Request,200,OK,Thread Group 1-1,text,true,1054,5,5,6285
1460688649876,7511,HTTP Request,200,OK,Thread Group 1-4,text,true,3236,5,5,7511
1460688654176,4015,HTTP Request,200,OK,Thread Group 1-3,text,true,1054,5,5,4015
1460689410443,1897,HTTP Request,200,OK,Thread Group 1-2,text,true,1391,5,5,1896
1460689410274,2589,HTTP Request,200,OK,Thread Group 1-1,text,true,1054,5,5,2589
1460689411044,1962,HTTP Request,200,OK,Thread Group 1-5,text,true,1345,5,5,1962
1460689410842,2320,HTTP Request,200,OK,Thread Group 1-4,text,true,3236,5,5,2320
1460689410644,2873,HTTP Request,200,OK,Thread Group 1-3,text,true,1204,5,5,2873
1460689412865,1520,HTTP Request,200,OK,Thread Group 1-1,text,true,1054,5,5,1520
1460689413520,2216,HTTP Request,200,OK,Thread Group 1-3,text,true,3161,5,5,2216
1460689413164,2780,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,2780
1460689413008,3282,HTTP Request,200,OK,Thread Group 1-5,text,true,1391,5,5,3282
1460689414386,1965,HTTP Request,200,OK,Thread Group 1-1,text,true,1270,5,5,1965
1460689415947,2282,HTTP Request,200,OK,Thread Group 1-4,text,true,979,5,5,2282
1460689412367,6549,HTTP Request,200,OK,Thread Group 1-2,text,true,1106,5,5,6549
1460689415738,4938,HTTP Request,200,OK,Thread Group 1-3,text,true,1031,5,5,4938
1460689416353,4449,HTTP Request,200,OK,Thread Group 1-1,text,true,1129,5,5,4449
1460689416293,4633,HTTP Request,200,OK,Thread Group 1-5,text,true,1339,5,5,4633
1460689418919,2266,HTTP Request,200,OK,Thread Group 1-2,text,true,1345,5,5,2266
1460689418230,4243,HTTP Request,200,OK,Thread Group 1-4,text,true,3236,5,5,4243
1460689420928,1770,HTTP Request,200,OK,Thread Group 1-5,text,true,1316,5,5,1770
1460689420804,2481,HTTP Request,200,OK,Thread Group 1-1,text,true,1054,5,5,2481
1460689420677,4566,HTTP Request,200,OK,Thread Group 1-3,text,true,1031,5,5,4566
1460689422700,3099,HTTP Request,200,OK,Thread Group 1-5,text,true,1270,5,5,3099
1460689422474,3712,HTTP Request,200,OK,Thread Group 1-4,text,true,3236,5,5,3712
1460689421186,5095,HTTP Request,200,OK,Thread Group 1-2,text,true,1129,5,5,5095
1460689425800,2632,HTTP Request,200,OK,Thread Group 1-5,text,true,1316,5,5,2632
1460689426280,2720,HTTP Request,200,OK,Thread Group 1-2,text,true,3161,5,5,2720
1460689426186,2871,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,2871
1460689423287,5876,HTTP Request,200,OK,Thread Group 1-1,text,true,1031,5,5,5876
1460689425245,4225,HTTP Request,200,OK,Thread Group 1-3,text,true,1054,5,5,4225
1460689428433,1415,HTTP Request,200,OK,Thread Group 1-5,text,true,1270,5,5,1415
1460689429163,1935,HTTP Request,200,OK,Thread Group 1-1,text,true,1391,5,5,1935
1460689429058,3237,HTTP Request,200,OK,Thread Group 1-4,text,true,979,5,5,3237
1460689429849,2659,HTTP Request,200,OK,Thread Group 1-5,text,true,3161,5,5,2659
1460689429471,3089,HTTP Request,200,OK,Thread Group 1-3,text,true,1204,5,5,3089
1460689432561,1586,HTTP Request,200,OK,Thread Group 1-3,text,true,1316,5,5,1586
1460689429001,5163,HTTP Request,200,OK,Thread Group 1-2,text,true,1106,5,5,5163
1460689431099,3397,HTTP Request,200,OK,Thread Group 1-1,text,true,1345,5,5,3397
1460689434165,2316,HTTP Request,200,OK,Thread Group 1-2,text,true,3161,5,5,2316
1460689432296,4415,HTTP Request,200,OK,Thread Group 1-4,text,true,1031,5,5,4415
1460689432510,4644,HTTP Request,200,OK,Thread Group 1-5,text,true,979,5,5,4644
1460689434148,4222,HTTP Request,200,OK,Thread Group 1-3,text,true,1129,5,5,4222
1460689434498,3983,HTTP Request,200,OK,Thread Group 1-1,text,true,1345,5,5,3983
1460689437157,1332,HTTP Request,200,OK,Thread Group 1-5,text,true,1316,5,5,1332
1460689436714,2377,HTTP Request,200,OK,Thread Group 1-4,text,true,1054,5,5,2377
1460689438490,1688,HTTP Request,200,OK,Thread Group 1-5,text,true,1270,5,5,1688
1460689438483,2218,HTTP Request,200,OK,Thread Group 1-1,text,true,3161,5,5,2217
1460689438372,2369,HTTP Request,200,OK,Thread Group 1-3,text,true,1129,5,5,2369
1460689440181,1329,HTTP Request,200,OK,Thread Group 1-5,text,true,979,5,5,1329
